#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
-0.001    -0.004    0.0005    3906.5813    205.6095    2225.7651    148.3843    1680.8162    1680.8162
-0.0    -0.004    0.0005    3935.8736    207.1512    2513.0421    167.5361    1422.8316    1422.8316
0.0006    -0.002    0.0    3963.024    208.5802    1880.9349    125.3957    2082.0891    2082.0891
0.0002    0.0005    -0.0015    4011.6897    211.1416    1790.79    119.386    2220.8998    2220.8998
0.0004    -0.001    -0.0005    4032.3143    212.2271    2471.941    164.7961    1560.3732    1560.3732
0.0004    -0.003    0.0    4045.0351    212.8966    2264.3029    150.9535    1780.7322    1780.7322
-0.0002    -0.0035    0.0005    4092.1599    215.3768    1980.9374    132.0625    2111.2224    2111.2224
0.0004    0.0    -0.001    4114.1355    216.5334    2913.5312    194.2354    1200.6043    1200.6043
-0.0004    -0.0005    -0.001    4123.4143    217.0218    2685.8345    179.0556    1437.5797    1437.5797
0.0004    -0.002    -0.0005    4135.4304    217.6542    1640.2245    109.3483    2495.2059    2495.2059
0.0006    0.001    -0.0015    4157.4082    218.811    2941.3342    196.0889    1216.0739    1216.0739
-0.0004    -0.001    -0.001    4170.1719    219.4827    1397.2708    93.1514    2772.9011    2772.9011
0.0002    -0.004    0.0005    4171.2212    219.538    2756.608    183.7739    1414.6133    1414.6133
-0.0006    -0.0015    -0.0005    4176.7859    219.8308    2757.8415    183.8561    1418.9443    1418.9443
0.001    -0.003    0.0005    4186.8335    220.3597    1590.9947    106.0663    2595.8388    2595.8388
-0.0002    -0.001    -0.001    4201.4472    221.1288    1252.3917    83.4928    2949.0555    2949.0555
-0.0006    -0.001    -0.001    4215.393    221.8628    1604.1867    106.9458    2611.2064    2611.2064
-0.0006    -0.0025    0.0    4269.7576    224.7241    2495.3815    166.3588    1774.3761    1774.3761
-0.0    0.0005    -0.0015    4288.0524    225.687    2201.0997    146.74    2086.9527    2086.9527
-0.0    -0.001    -0.001    4309.2188    226.801    1169.5495    77.97    3139.6693    3139.6693
-0.0008    -0.001    -0.001    4337.1105    228.269    1873.1394    124.876    2463.9712    2463.9712
0.001    0.002    -0.002    4340.5418    228.4496    2477.0893    165.1393    1863.4525    1863.4525
0.0006    -0.003    0.0    4416.3489    232.4394    2543.8187    169.5879    1872.5303    1872.5303
-0.0004    -0.0035    0.0005    4453.4092    234.39    2162.8258    144.1884    2290.5834    2290.5834
0.0004    -0.002    0.0    4478.9185    235.7326    2204.1802    146.9453    2274.7382    2274.7382
0.0004    -0.004    0.0005    4483.0652    235.9508    3062.2107    204.1474    1420.8546    1420.8546
0.0006    -0.002    -0.0005    4489.7177    236.3009    1831.6165    122.1078    2658.1012    2658.1012
0.0002    -0.001    -0.001    4493.4868    236.4993    1148.7441    76.5829    3344.7427    3344.7427
0.0008    -0.003    0.0005    4532.7087    238.5636    1702.0426    113.4695    2830.6661    2830.6661
-0.001    -0.001    -0.001    4535.3244    238.7013    2204.1289    146.9419    2331.1955    2331.1955
-0.0006    -0.0005    -0.001    4612.2396    242.7495    3194.131    212.9421    1418.1086    1418.1086
-0.0002    0.0005    -0.0015    4640.9115    244.2585    2673.4463    178.2298    1967.4652    1967.4652
0.0002    -0.001    -0.0005    4641.7316    244.3017    2945.3469    196.3565    1696.3847    1696.3847
0.0004    0.001    -0.0015    4724.3823    248.6517    3528.9509    235.2634    1195.4314    1195.4314
-0.0008    -0.0015    -0.0005    4725.081    248.6885    3240.0511    216.0034    1485.0299    1485.0299
0.0002    0.0    -0.001    4740.5794    249.5042    3475.0609    231.6707    1265.5185    1265.5185
0.0004    -0.001    -0.001    4754.2512    250.2237    1189.9755    79.3317    3564.2757    3564.2757
-0.001    -0.0035    0.0    4768.9153    250.9955    2301.33    153.422    2467.5853    2467.5853
0.0008    0.002    -0.002    4771.5497    251.1342    3028.756    201.9171    1742.7937    1742.7937
-0.0008    -0.0025    0.0    4801.0262    252.6856    2889.4673    192.6312    1911.5589    1911.5589
0.0008    -0.003    0.0    4864.1592    256.0084    2885.3713    192.3581    1978.7879    1978.7879
0.0006    -0.004    0.0005    4871.4056    256.3898    3429.8502    228.6567    1441.5554    1441.5554
-0.0006    -0.0035    0.0005    4891.1549    257.4292    2406.7509    160.4501    2484.4039    2484.4039
0.0008    -0.002    -0.0005    4920.5014    258.9738    2085.0454    139.003    2835.456    2835.456
0.0006    -0.003    0.0005    4955.0802    260.7937    1875.1273    125.0085    3079.9529    3079.9529
0.0008    0.0015    -0.002    5014.6989    263.9315    1099.1638    73.2776    3915.5352    3915.5352
0.001    0.0015    -0.002    5027.2952    264.5945    848.8776    56.5918    4178.4176    4178.4176
-0.0008    -0.0035    0.0    5048.3587    265.7031    2447.9685    163.1979    2600.3901    2600.3901
-0.0004    0.0005    -0.0015    5070.2669    266.8562    3207.8296    213.8553    1862.4373    1862.4373
